Feature	Gain	Cover	Frequency
mcaja_ahorro_rank_lag2	0.00487712945353458	0.00784841461427921	0.00798574219419406
mprestamos_personales_rank_delta1	0.00483486722348531	0.0100379672255326	0.00620351646845118
ctarjeta_visa_transacciones_lag2	0.00482321122446222	0.00302769938321691	0.00490112074579292
Visa_mpagominimo_rank_delta2	0.00464770887934812	0.00473164052001645	0.00651197861329129
cdescubierto_preacordado	0.0045800685702319	0.004764914953947	0.00311889502005004
Visa_fechaalta_lag1	0.00432312317782344	0.00422319214000955	0.0105562600678617
ccomisiones_mantenimiento	0.00428506396764739	0.0174114111622138	0.00517530931898413
mpasivos_margen_rank_delta1	0.0042158906090453	0.00269632864605257	0.00836275148233198
ccallcenter_transacciones_delta1	0.00420842693097524	0.00223989543770922	0.00332453644994345
mprestamos_personales_rank_lag1	0.0041977748145483	0.00525950411952522	0.0044555643143572
mprestamos_personales_rank_delta2	0.00416991786346238	0.00880754924837969	0.00514103574733523
mtarjeta_visa_consumo_rank_lag1	0.00404595671490906	0.00704974196483401	0.00637488432669569
mprestamos_personales_rank_lag2	0.00403876257725374	0.00305539317347085	0.0044212907427083
mpasivos_margen_rank_lag2	0.00370651645476696	0.00379104643499612	0.0067518936148336
ccomisiones_mantenimiento_delta2	0.00366236582371342	0.0113294704602363	0.00366727216643246
mtarjeta_visa_consumo_rank_delta2	0.00355439862358501	0.00512340047418471	0.00596360146690887
ctarjeta_visa_transacciones_delta1	0.00349278728731778	0.00428311938319917	0.00538095074887754
mactivos_margen_rank_lag2	0.00347449990630927	0.00548485494613558	0.00829420433903417
cproductos_lag2	0.00340263032746838	0.00574822313783653	0.00514103574733523
mtarjeta_visa_consumo_rank_lag2	0.00339890515601876	0.00354957580209249	0.00479830003084622
ctarjeta_visa_transacciones_delta2	0.00338818210021646	0.0112224865643232	0.00658052575658909
cproductos_lag1	0.00319131731154253	0.010379449029579	0.00544949789217534
ccallcenter_transacciones_delta2	0.003110835150743	0.00273194990695971	0.00270761216026322
mtarjeta_visa_consumo_rank_delta1	0.00307759217853161	0.00366197711093452	0.00500394146073962
ccomisiones_mantenimiento_delta1	0.0030265315776623	0.00742091020618668	0.00301607430510333
kmes_lag1	0.00300471048773536	0.00334391737927257	0.00606642218185557
Master_status	0.0029646063215843	0.00437174751955788	0.00243342358707201
Master_mpagominimo_rank_lag1	0.00285298451113697	0.0049374744928858	0.00383864002467697
Visa_status	0.00282668939608369	0.00700149957932049	0.00329026287829455
cproductos_delta1	0.00276965420641439	0.0074090651975883	0.00308462144840114
internet_lag1	0.00275046539700563	0.00450855336509611	0.00253624430201871
cpayroll_trx_lag2	0.00260548533880346	0.00570850878893478	0.00157658429584947
